lat,lon
34.967325,127.721025
34.960347,127.727554
34.967214,127.58368
34.978266,127.591784
34.964441,127.71245
34.94311,127.689732
34.974893,127.575439
34.978135,127.587524
34.934324,127.701653
34.964685,127.720586
34.978376,127.589659
34.967677,127.584609
34.981894,127.590375
34.962496,127.717012
34.977236,127.583093
34.979495,127.576751
34.968128,127.582186
34.990859,127.699772
34.991596,127.598958
34.96571,127.56367
34.970313,127.583194
34.980059,127.58344
34.943202,127.697559
34.970152,127.586031
34.981011,127.587729
35.058258,127.737085
34.978676,127.574652
34.981654,127.591384
34.963002,127.721719
34.975081,127.577738
34.964912,127.572413
34.983154,127.584356
34.981129,127.57752
34.980977,127.706193
34.977251,127.576982
34.94519,127.688443
34.941436,127.687275
34.967657,127.581368
